"Sõne","keel","Hääldus"
"AC/PC","",""
"Acacia","","akaacia"
"Académie","","akademii"
"Academy","","+"
"Acaena","",""
"açai'd","","akaid"
"ACAMJG","",""
"ACAMJG-i","",""
"Acapulco","","akapul'ko"
"Accademia","",""
"Accaro","",""
"Accelerando","","atshelerando"
"Accettura","","atsettura"
"Accius","","atshi'us"
"Acclaimiga","en","äkleimiga"
"accommodo'st","",""
"Accomplished","en","äkomplishd"
"Accor","en","äköör"
"Accra","","Akraa"
"Accuride","","Äkju'raid"
"Accustomed","","äk'astomd"
"Accutane","en","äcu'tein"
"Ace","en","eiss"
"ACE-inhibiitor","",""
"ACE-inhibiitoreid","",""
"ACE-inhibiitori","",""
"Aceh","","atšehh"
"Acer","en","eis'ser"
"Acesi","en","eis'sesi"
"ACF","",""
"Acfield","",""
"Acgo","","+"
"Ach","",""
"Achard","",""
"Achat","","+"
"Acheampong","",""
"Achebe","",""
"Achebet","","+"
"Achelooga","",""
"Aches","","ahhes"
"Achille","","ahhill"
"Achillese","","ahhillese"
"Achilleus","","ahhilleus"
"Achilleuse-nimelisi","","ahhilleuse-nimelisi"
"Achim","",""
"ACHMAD","",""
"ACHMED","",""
"Acho","",""
"Achtung","","ahdung"
"Ack","en","äck"
"Acker","en","äker"
"Ackerley","",""
"Ackerman","en","äkermän"
"Ackermann","",""
"Ackersley","","äkersli"
"Ackroyd","","Äkroid"
"Ackté","",""
"Acktjära","","+"
"Aconcagua","","Akonkaagua"
"Acosta","","+"
"Acott","","+"
"Acqua","",""
"ACQUAINTANCE","en","äquei'ntens"
"acquasale't","","+"
"Acre","en","ei'kr"
"Acrilan","",""
"Acropolis","",""
"Acting","",""
"Action","","äktsjon"
"Action-kangelane","",""
"ActionAid","","äktsion'eid"
"activité","",""
"Actoni","","äktoni"
"Actrapidi","",""
"Acuren","","äkuren"
"AD","",""
"Ad-Dawhah","","ad'dauha"
"Ad-Dawri","",""
"Ada","en","Eida"
"Ada","","Aada"
"Adaddi","","adaadi"
"Adagio","","adaadsho"
"Adair","",""
"Adalah","",""
"Ådaleni","",""
"Adalia","",""
"Adam","en","ädam"
"Adami-nimelist","",""
"AdamiMaryga","en","ädamimeeriga"
"Adamo","","+"
"Adamou","","adaamu"
"Adamovitš","","Ad'amovitš"
"Adams","","+"
"Adams","en","ädams"
"Adamson","en","ädamson"
"Adamson","","+"
"Adamson-Ericu","","+"
"Adanna","","ad'anna"
"Adanu","",""
"Adatia","",""
"Adda","",""
"Addam","",""
"Addams","","Ädams"
"Adderalli","",""
"ADDICTED","","äd'ikted"
"Addiction","","äd'iksjon"
"Addie","","ädi"
"Addin","en","ädin"
"Addis","","adis"
"Addisland","",""
"Addison","en","ädisson"
"Additionisse","",""
"Addlardile","en","ädlardail"
"Addlestone","","Ädl'stoun"
"Addo","",""
"Addy","",""
"Ade'i","",""
"Adebayor","","ädbajoor"
"Adebe","",""
"ADEE","",""
"Adeeb","",""
"Adeeli","",""
"Adela","","adeela"
"Adelaida","",""
"Adelaide","","Ädeleid"
"Adelasoye","","adeela'soi"
"Adelbodenis","",""
"Adele","","Adeel"
"Adelheid","","+"
"Adeli","","+"
"Adeline","","adeliin"
"Adelmo","","+"
"Adelphi","",""
"Adelphia","","adelfia"
"Adelsten","","+"
"Aden","","Aaden"
"Adenauer","","adenaer"
"Adeniin","","+"
"ADENIJI","",""
"Adenis","","+"
"Adenokartsinoom","",""
"Adenomüoosist","",""
"Adenosiin","",""
"Adenosiintrifosfaat","",""
"Adesi","",""
"ADESTE","","adest"
"ADHAM","","+"
"ADHD","",""
"Adhfordly","","ädfordli"
"Adidas","","adiidas"
"Adide","","adiide"
"Adila","",""
"Adios","","adi'os"
"Aditya","",""
"Adjihuan","",""
"Adjunktprofessor","",""
"ADL","",""
"Adlar","",""
"Adler","","Aadler"
"ADM","",""
"Admasi","",""
"Admiralitätsstrassel","",""
"Admiralty","","ädmiralti"
"Adnan","","ädnan"
"Ado","","aado"
"Adõgei","",""
"Adolf","","+"
"Adolfo","","+"
"Adolfsson","",""
"Adõlgei","",""
"Adolph","","Adolf"
"Adolphus","","ad'olfus"
"Adonai","","+"
"ADONIS","","+"
"Adopteerimisametist","",""
"Adopteerimisseaduse","",""
"Adora","","adoora"
"Adoramos","",""
"ADP","",""
"Adralmech","",""
"Adrar","",""
"Adrea","",""
"Adree","","+"
"Adrew","","äädru"
"Adri","en","ädri"
"Adriaansens","",""
"Adrian","en","eidrian"
"Adriatic","","Adri'atik"
"Adrien","","Eidrien"
"Adrienne","",""
"Adshead","","äädsheed"
"Adso","","+"
"Adson","","+"
"adumbratio't","",""
"Advanfort","","ädvanfort"
"Adventkogudus","",""
"Adventure","","Ad'ventšör"
"Adventures","","Ad'ventšös"
"Advertiser","","ädvertaiser"
"Advil","",""
"Advisors","","ädvaisors"
"Advisory","","ädvaissori"
"AdWords","","äädwööds"
"Adžaaria","","adshaaria"
"Adzukiubadega","","Adzuki'ubadega"
"AE-RAN","",""
"Aechmea","",""
"Aedificium","","Edifiitsium"
"aednik/remondimees","",""
"Aee","",""
"Aegeuse","",""
"Aegluupkaameraga","",""
"Aegoni","",""
"Aegopodium","",""
"Aeh","",""
"Aelthred","",""
"Aemon","",""
"Aeneas","","+"
"Aequam","",""
"Aequorea","","ekorea"
"Aera","",""
"Aero","",""
"Aeroflotis","","eeroflotis"
"Aerole","","aerol"
"Aeronautikainsener","",""
"Aeronautikainsenerina","",""
"Aeronwy","",""
"Aerosmith","","eerosmith"
"Aerospace","",""
"AeroVironment","",""
"Aerys","",""
"Aesctiri","","eesctiri"
"Aetakse","",""
"Aethelred","",""
"Aetheraline","","etheraliin"
"Aethyr","","eethyr"
"Afaasialiidu","",""
"Afaasiarühmas","",""
"Afaasiaühing","",""
"Afaasiaühingu","",""
"Afanasjev","","+"
"Afanassi","","+"
"Afanassjev","",""
"Afanc","","+"
"Afaris","","afaaris"
"AFC","",""
"Afeyan","",""
"Affers","",""
"Affi","en","äffi"
"affogato'st","",""
"Afganisanis","",""
"Afganistaan","","+"
